"strain","pH","term","df","sumsq","meansq","statistic","p.value","clade","subclade"
"02G3A08",8.9,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",6.5,"date",1,0.000215095585904613,0.000215095585904613,0.332188354155865,0.667140722640483,"III","IIID"
"02G3A08",9.2,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",9.5,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",9.8,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",6.2,"date",1,0.00916914379563272,0.00916914379563272,1.77116132589314,0.410235380775802,"III","IIID"
"02G3A08",5.3,"date",1,0.0104094086138407,0.0104094086138407,1.02232741711943,0.496485642269758,"III","IIID"
"02G3A08",6.8,"date",1,0.0124281286499437,0.0124281286499437,3665846.06551831,0.000332501011892911,"III","IIID"
"02G3A08",7.1,"date",1,0.00236582267962068,0.00236582267962068,861740324294047607610049675919360,0.0000000000000000216866222661951,"III","IIID"
"02G3A08",7.4,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",10.1,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",3.5,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",8.6,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",8.3,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",3.8,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",4.7,"date",1,0.000526484921400827,0.000526484921400827,0.333333333333333,0.666666666666667,"III","IIID"
"02G3A08",5,"date",1,0.00263996056764168,0.00263996056764168,1.83454328414316,0.40487389492192,"III","IIID"
"02G3A08",5.6,"date",1,0.0109440610754251,0.0109440610754251,34.2689926503067,0.107710382278107,"III","IIID"
"02G3A08",8,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",4.1,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",7.7,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",3.2,"date",1,0,0,NA,NA,"III","IIID"
"02G3A08",5.9,"date",1,0.0104825041788367,0.0104825041788367,14.7878417861822,0.161962245834836,"III","IIID"
"02G3A08",4.4,"date",1,0.000164884206320896,0.000164884206320896,0.333333333333333,0.666666666666667,"III","IIID"
"04G1A01",3.2,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",6.5,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",6.2,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",5.9,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",3.5,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",5.3,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",8.3,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",8.6,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",6.8,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",5.6,"date",2,0.0274764166351365,0.0137382083175682,149326091262348705706040725864448,0.0000000000000000000000000000000066967533372525,"IV","IVD"
"04G1A01",8.9,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",7.7,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",8,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",7.1,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",5,"date",2,0.00211715674796858,0.00105857837398429,0.599999999999999,0.625,"IV","IVD"
"04G1A01",9.2,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",7.4,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",4.1,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",9.8,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",4.4,"date",2,0,0,NA,NA,"IV","IVD"
"04G1A01",4.7,"date",2,0,0,NA,NA,"IV","IVD"
