sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	strain	pH	replicate	max.OD	date
A1	0	0.00431539385416743	0	-6.77697410101175	1.21557878098734	0.203815907123923	0.202999861111111	0.000422675874962811	questionable fit (k < n0)	35G1B03	3.2	1	0.005	2023-07-19
A10	0	0.00519443593681825	0	29.6212386535957	8.39549932610854	1.29867167083791	1.29275013888889	0.00141382595258194		35G1B03	5.9	1	0.057	2023-07-19
A11	0	0.00641172721181926	0	31.5528319967077	10.296259662108	1.15089940737065	1.14912527777778	0.000592024207380997		35G1B03	6.2	1	0.045	2023-07-19
A12	0	0.00369946520320847	0	7.18693720691281	4.2293736518941	0.618896017914156	0.621	0.00241930213349649		35G1B03	6.5	1	0.02	2023-07-19
A13	0	0.000765667847146658	0	9.00724396301681	2.8175498958511	0.301934007926543	0.304874722222222	0.00257489965682418		35G1B03	6.8	1	0.011	2023-07-19
A14	0	0.00259545050844362	0	2.66540044598867	4.81633608109619	0.26859126646893	0.26825	0.00079280934625467		35G1B03	7.1	1	0.01	2023-07-19
A15	0	0.00152754624016911	0	4.15204900350534	5.76164797789249	0.162406296515758	0.162	0.000631933728527631		35G1B03	7.4	1	0.00900000000000001	2023-07-19
A16	0.01	0.000598866424959247	0.0452556140027958	355.100207867273	15.3162695023235	0.104009682285267	0.105374861111111	0.00127461467653554		35G1B03	7.7	1	0.01	2023-07-19
A17	0	0.0000000100198585112752	0	9.71525601794906	0.577452343820716	0.0447547249677186	0.04575	0.000456936102890858		35G1B03	8	1	0.004	2023-07-19
A18	0	0.002	0	-0.305102918855541	1.13026433473709	0.0174358688887437	0.017125	0.000536534114449196	questionable fit (k < n0)	35G1B03	8.3	1	0.002	2023-07-19
A19	0	0	0	0	0	0	0	0	cannot fit data	35G1B03	8.6	1	0	2023-07-19
A2	0	0.00370652542647242	0	-17.3754677909187	12.1247995767178	0.218917108464036	0.218125	0.000353046569968513	questionable fit	35G1B03	3.5	1	0.00499999999999999	2023-07-19
A20	0	0	0	0	0	0	0	0	cannot fit data	35G1B03	8.9	1	0.021	2023-07-19
A21	0	0.00000000000215846923578648	0	16.5821919578452	0.55754131120857	0.0612727959240965	0.0643750000000001	0.00226681469600224		35G1B03	9.2	1	0.011	2023-07-19
A22	0.034	0.00527775506656385	0.0337998061464607	406.197653046914	20.5074306508272	0.6402588284313	0.640625	0.00744803012832678		35G1B03	9.5	1	0.034	2023-07-19
A23	0.12465734113325	0.0150633032044888	0.225808819348752	8.78850279492648	3.06961961255114	4.84250043675301	4.81937597222222	0.00628606608553115		35G1B03	9.8	1	0.135	2023-07-19
