pH,SolA,SolB,SolA_50ml,SolB_50ml
5.7,93.5,6.5,23.375,1.625
5.8,92,8,23,2
5.9,90,10,22.5,2.5
6,87.7,12.3,21.925,3.075
6.1,85,15,21.25,3.75
6.2,81.5,18.5,20.375,4.625
6.3,77.5,22.5,19.375,5.625
6.4,73.5,26.5,18.375,6.625
6.5,68.5,31.5,17.125,7.875
6.6,62.5,37.5,15.625,9.375
6.7,56.5,43.5,14.125,10.875
6.8,51,49,12.75,12.25
6.9,45,55,11.25,13.75
7,39,61,9.75,15.25
7.1,33,67,8.25,16.75
7.2,28,72,7,18
7.3,23,77,5.75,19.25
7.4,19,81,4.75,20.25
7.5,16,84,4,21
7.6,13,87,3.25,21.75
7.7,10.5,89.5,2.625,22.375
7.8,8.5,91.5,2.125,22.875
7.9,7,93,1.75,23.25
8,5.3,94.7,1.325,23.675
