pH,SolA,SolB,SolA_50ml,SolB_50ml
3.2,99.9838,0.0162,24.9959,0.0041
3.5,99.9665,0.0335,24.9916,0.0084
3.8,99.9308,0.0692,24.9827,0.0173
4.1,99.8574,0.1426,24.9643,0.0357
4.4,99.7061,0.2939,24.9265,0.0735
4.7,99.3953,0.6047,24.8488,0.1512
5,98.76,1.24,24.69,0.31
5.3,97.4742,2.5258,24.3685,0.6315
5.6,94.9235,5.0765,23.7309,1.2691
5.9,90.0599,9.9401,22.515,2.485
6.2,81.4471,18.5529,20.3618,4.6382
6.5,68.0216,31.9784,17.0054,7.9946
6.8,50.755,49.245,12.6887,12.3113
7.1,33.3063,66.6937,8.3266,16.6734
7.4,19.483,80.517,4.8707,20.1293
7.7,10.4941,89.5059,2.6235,22.3765
8,5.3755,94.6245,1.3439,23.6561
8.3,2.6789,97.3211,0.6697,24.3303
8.6,1.3162,98.6838,0.329,24.671
8.9,0.6421,99.3579,0.1605,24.8395
9.2,0.3122,99.6878,0.078,24.922
9.5,0.1515,99.8485,0.0379,24.9621
9.8,0.0735,99.9265,0.0184,24.9816
10.1,0.0356,99.9644,0.0089,24.9911
