sample	k	n0	r	t_mid	t_gen	auc_l	auc_e	sigma	note	StrainID	replicate	Temp	max.OD	date
A1	0.0253333333333333	0.00900412453994281	0.0179184219380157	864.30618324358	38.6834947272541	0.706568932111095	0.685833333333334	0.00284627461963699		04D05	1	4	0.0253333333333333	2024-03-14
A10	0.0243333333333333	0.00587084866250975	0.0280013180038755	600.505487076098	24.7540912347059	0.617140503993446	0.611333333333334	0.00155544250169405		23G1A10	1	4	0.0243333333333333	2024-03-14
A11	0	0	0	0	0	0	0	0	cannot fit data	28G1A07	1	4	0.00533333333333334	2024-03-14
A12	0	0.00605449759897344	0	27.8279452410152	21.2013524245646	0.490093772271491	0.489333333333334	0.00160608705019573		28G2A10	1	4	0.0143333333333333	2024-03-14
A13	0.0113333333333333	0.00627133067285966	0.0070162602317038	1538.83604056141	98.7915438808666	0.366728956391315	0.367333333333334	0.0016647406689541		18G3A05	1	4	0.0113333333333333	2024-03-14
A14	0	0	0	0	0	0	0	0	cannot fit data	23G1A04	1	4	0.00933333333333335	2024-03-14
A15	0	0	0	0	0	0	0	0	cannot fit data	28G2A04	1	4	0.00533333333333334	2024-03-14
A16	0.0313333333333333	0.0082047549641311	0.0266036383182334	674.388965344327	26.0546009635412	0.827286997078843	0.823333333333334	0.00196975644034594		28G2B02	1	4	0.0313333333333333	2024-03-14
A17	0	0.01400345423525	0	44.9298096832557	19.6265066162557	1.35751698018798	1.36983333333333	0.00274306612944884		28G4A04	1	4	0.0433333333333333	2024-03-14
A18	0.11378582808667	0.00665994460671639	0.0480622649800926	57.7978057841034	14.4218584131865	1.05020249673533	1.06133333333333	0.00294923711939631		35G1A07	1	4	0.0453333333333334	2024-03-14
A19	0	0.00745964942467977	0	48.2591900251037	16.6009018157831	0.886296406416133	0.885333333333334	0.00174126968134719		23G4A10	1	4	0.0333333333333333	2024-03-14
A2	0.0173333333333333	0.00705719151707207	0.0165780935646289	924.609068915438	41.8110307954135	0.533455557954601	0.518833333333334	0.00307268479368743		23G1A01	1	4	0.0173333333333333	2024-03-14
A20	0.0713333333333333	0.0154439964497345	0.0321125273433947	494.299458066333	21.5849463714826	1.83888209248476	1.84033333333333	0.00328964183809968		28G1A03	1	4	0.0713333333333333	2024-03-14
A21	0.281814696902182	0.0130362340850816	0.044596365588466	67.8565332494505	15.542683162935	1.96671146147553	1.96483333333333	0.00295302601522595		35G4A05	1	4	0.0823333333333334	2024-03-14
A22	0.0253333333333333	0.00803626854709513	0.0220765995561983	729.256370419929	31.3973707225819	0.709778436101557	0.694333333333334	0.00253621327974398		35G1A08	1	4	0.0253333333333333	2024-03-14
A23	0	0	0	0	0	0	0	0	cannot fit data	33G3A09	1	4	0.00633333333333334	2024-03-14
A24	0.108333333333333	0.0130707876735922	0.0426747360498322	446.127817811341	16.2425651502693	2.17266053372133	2.15183333333333	0.00466368388344664		26G3A06	1	4	0.108333333333333	2024-03-14
