well	sample ID
A1	35G4A05
A2	35G3A03
A3	35G2B04
A4	35G2A08
A5	35G1A08
A6	35G1A07
A7	35D10
A8	28G4B02
A9	28G4A09
A10	CONT
A11	28G4A04
A12	28G3B02
B1	28G2B04
B2	28G2A10
B3	28G2A09
B4	28G2A08
B5	28G2A06
B6	28G2A04
B7	28G1B05
B8	28G1B03
B9	28G1A07
B10	28G1A03
B11	26G3A06
B12	26G3A01
C1	26G2A07
C2	23G4A10
C3	23G4A09
C4	23G3B11
C5	23G3A05
C6	23G1B05
C7	23G1A10
C8	23G1A09
C9	23G1A04
C1	23G1A03
C11	23G1A02
C12	23G1A01
D1	23D03
D2	23D01
D3	18G4A01
D4	18G3A05
D5	18G1A02
D6	04D05
D7	37G1B08
D8	36G2A02
D9	35G4A09
D10	35G4A08
D11	35G4A06
D12	35G3B03
E1	35G3A04
E2	33G4B03
E3	33D06
E4	32G4A01
E5	32G2B08
E6	32G2B05
E7	30G4B06
E8	28G4B03
E9	28G4B01
E10	28G3A07
E11	28D04
E12	28D03
F1	26G3A08
F2	25G3B04
F3	24G4A05
F4	24G2B09
F5	23G3B12
F6	23G3B04
F7	23D08
F8	19G3B04
F9	12G1A05
F10	09D09
F11	08G1A03
F12	02G3A08
G1	35G4A07
G2	35G4B10
G3	36G2A07
G4	36G3B02
G5	36G3B05
G6	36G4B04
G7	37G4A03
G8	39G1A08
G9	39G1A09
G10	39G3A10
G11	39G3B09
G12	54.4B
H1	35D01
H2	28G4B05
H3	28G4B10
H4	30D10
H5	30G1B03
H6	33G2A09
H7	33G1B11
H8	32G3B09
H9	30G3A10
H10	33G3A09
H11	33G4B08
H12	35D06
