Well	StrainID
A1	04D05
A2	28G1B03
A3	23G1A02
A4	28G1B05
A5	23G1A03
A6	28G1A07
A7	18G3A05
A8	28G2A04
A9	28G4A04
A10	23G4A10
A11	35G4A05
A12	33G3A09
B1	23G1A01
B2	28G2A08
B3	23G1A09
B4	28G2A09
B5	23G1A10
B6	28G2A10
B7	23G1A04
B8	28G2B02
B9	35G1A07
B10	28G1A03
B11	35G1A08
B12	26G3A06
C1	23G1A07
C2	28G3A02
C3	23G2A03
C4	28G3A05
C5	23G2A04
C6	28G3A06
C7	23G1B01
C8	28G3B01
C9	28G1B09
C10	28G1B02
C11	23G1B05
C12	23G3A05
D1	23G2A01
D2	28G3B08
D3	23G2B04
D4	28G4A01
D5	23G2B10
D6	28G4A02
D7	23G2A05
D8	32G4A07
D9	23D02
D10	28G2B09
D11	26G2A07
D12	25G4B06
E1	23G2B03
E2	28G4A06
E3	23G4A02
E4	35G2A09
E5	23G4A07
E6	35G1A01
E7	23G4A08
E8	35G1A05
E9	23G1A06
E10	28G2A07
E11	23G4A09
E12	18G4A01
F1	23G4B03
F2	35G1B03
F3	23G4B06
F4	28G4B06
F5	23G4B07
F6	35G4B09
F7	23G4B09
F8	35G3A10
F9	23G1B10
F10	28G3B03
F11	28G2B04
F12	30G3A10
G1	23G2A07
G2	41G1A01
G3	26G4B12
G4	24G2B08
G5	28D09
G6	35G3A05
G7	28G1A01
G8	19G1B04
G9	23G2A08
G10	28G4A05
G11	28G2A06
G12	28G3B02
H1	28G1A05
H2	04G2A08
H3	28G1A06
H4	04G3B05
H5	28G1B10
H6	28G1A02
H7	28G1A09
H8	23G1A05
H9	23G3B09
H10	23G4B01
H11	28G1B01
H12	18G1A02
p2A1	39G1A08
p2A2	33G2A09
p2A3	23D01
p2A4	26G3A01
p2A5	28G4A09
p2A6	28G4B02
p2A7	33G1B11
p2A8	35D10
p2A9	36G2A07
p2A10	39G1A09
p2A11	35G2B04
p2A12	33G4B08
p2B1	36G3B02
p2B2	28G4B10
p2B3	39G3A10
p2B4	28G4B05
p2B5	35G3A03
p2B6	36G3B05
p2B7	35D01
p2B8	35D06
p2B9	39G3B09
p2B10	32G3B09
p2B11	37G4A03
p2B12	36G4B04
p2C1	35G4A07
p2C2	30D10
p2C3	35G2A08
p2C4	35G4B10
p2C5	30G1B03
p2C6	23G3B11
p2C7	23D03
p2C8	NEG
